Localização,Latitude {N+/S-},Longitude {E+/W-},Zona Horaria {+/- GMT},Elevação {m},,,,,,,,,,,,,,
Salvador,-12.90,-38.33,-3,13,,,,,,,,,,,,,,

Mês,Dia,Hora,TBS {C},TBU {C},T. Pto Orvalho {C},Pressao Atmosferica {kPa},Umidade {kg/kg},U. R. {%},Densidade do ar {kg/m3},Entalpia {BTU/LB},Velocidade do Vento {m/s},Direção do Vento {graus},Cobertura Total de Nuvens {decimas},Rad Horizontal Extraterreste {Wh/m2},Rad Global Horizontal {Wh/m2},Rad Direta {Wh/m2},Rad Direta Normal {Wh/m2},Rad Difusa Horizontal {Wh/m2}
2,25,8,20.9,20.0,19.3,101.3,0.014308851,92,1.173351901,57.2,0,0,5,411,261,165,392,96
2,25,9,27.6,23.5,21.6,101.4,0.016544444,71,1.144324235,69.8,0,0,1,728,504,374,594,129
2,25,10,29.6,24.3,22.0,101.4,0.016963427,65,1.136019262,72.9,2,150,4,999,633,400,497,232
2,25,11,30.3,24.1,21.4,101.4,0.016351214,60,1.134485732,72.1,5,110,1,1205,763,483,520,280
2,25,12,30.9,23.8,20.7,101.4,0.015627823,56,1.133531587,70.9,5,120,1,1332,844,534,538,310
2,25,13,31.6,23.8,20.4,101.4,0.015335054,52,1.131447439,70.8,3,170,1,1373,869,550,555,319
2,25,14,31.9,24.2,20.9,101.3,0.015858757,53,1.12829282,72.5,2,190,1,1323,912,674,731,238
2,25,15,32.4,24.5,21.2,101.2,0.016148887,53,1.124822847,73.7,3,140,3,1187,752,476,598,276
2,25,16,30.1,24.7,22.4,101.2,0.017438319,65,1.131068537,74.7,6,160,1,973,671,496,804,175
2,25,17,29.6,24.3,22.0,101.2,0.017002392,65,1.133709456,73.0,3,150,3,697,371,152,373,219
2,25,18,29.2,24.6,22.6,101.2,0.017654463,69,1.134052015,74.3,4,180,8,377,261,194,471,67
2,25,19,27.2,23.2,21.3,101.2,0.01628696,72,1.144049512,68.7,4,150,4,62,36,19,85,17
2,25,20,26.6,23.0,21.2,101.2,0.01623355,74,1.146435455,68.0,3,150,0,0,0,0,0,0
2,25,21,26.3,23.2,21.7,101.3,0.016646687,77,1.147974836,68.7,3,160,0,0,0,0,0,0
2,25,22,26.0,23.2,21.8,101.3,0.016772773,79,1.148899237,68.7,3,150,1,0,0,0,0,0
2,25,23,26.3,23.2,21.7,101.4,0.016628514,77,1.14914078,68.7,3,160,3,0,0,0,0,0
2,25,24,25.8,23.2,21.9,101.4,0.016838682,80,1.15068404,68.7,3,160,1,0,0,0,0,0
2,26,1,25.8,22.9,21.4,101.3,0.01639978,78,1.150339602,67.6,3,150,1,0,0,0,0,0
2,26,2,25.6,22.7,21.2,101.3,0.016182231,78,1.151502124,66.8,3,130,0,0,0,0,0,0
2,26,3,23.5,21.5,20.3,101.3,0.015304071,84,1.161251666,62.4,0,0,0,0,0,0,0,0
2,26,4,21.5,20.6,19.9,101.2,0.014891931,92,1.16873563,59.3,0,0,0,0,0,0,0,0
2,26,5,21.0,20.5,20.0,101.2,0.014963284,96,1.170591111,59.0,0,0,3,0,0,0,0,0
2,26,6,21.0,20.4,19.8,101.2,0.014825872,95,1.17084371,58.6,0,0,1,0,0,0,0,0
2,26,7,21.0,20.5,20.0,101.3,0.014947946,96,1.171776038,59.0,0,0,4,85,55,36,169,19
2,26,8,22.0,21.0,20.3,101.3,0.015223968,92,1.16730006,60.7,0,0,6,410,265,175,417,91
2,26,9,28.7,24.4,22.5,101.3,0.01752191,70,1.137288666,73.4,3,100,6,727,470,309,492,160
2,26,10,30.0,24.0,21.4,101.4,0.016318919,61,1.135665888,71.7,4,150,6,998,690,513,638,177
2,26,11,30.5,24.6,22.1,101.4,0.017067932,62,1.132466943,74.1,5,130,4,1204,830,613,660,217
2,26,12,31.2,24.6,21.8,101.4,0.016773936,59,1.130382332,74.1,5,150,3,1331,843,534,537,310
2,26,13,31.0,24.6,21.9,101.4,0.016857904,60,1.130976962,74.1,6,150,1,1371,869,550,555,319
2,26,14,30.6,24.6,22.0,101.3,0.017045741,62,1.131016926,74.2,5,140,1,1321,837,530,574,308
2,26,15,30.5,24.6,22.1,101.3,0.01708776,62,1.131315009,74.2,5,140,1,1185,687,355,446,333
2,26,16,30.0,25.0,22.9,101.2,0.01797235,67,1.130497452,75.9,7,130,0,971,670,495,804,175
2,26,17,30.0,24.5,22.1,101.3,0.017136218,64,1.133095021,73.8,6,130,3,695,479,354,855,125
2,26,18,28.9,24.5,22.5,101.3,0.017598971,70,1.13639868,73.8,6,140,3,374,237,150,468,87
2,26,19,27.4,24.2,22.7,101.3,0.01774872,77,1.141802932,72.7,5,140,1,61,42,31,144,11
2,26,20,26.9,23.7,22.2,101.3,0.017168658,77,1.144743613,70.7,5,140,3,0,0,0,0,0
2,26,21,26.6,23.7,22.3,101.3,0.017294912,79,1.145662999,70.7,4,150,1,0,0,0,0,0
2,26,22,26.5,23.7,22.3,101.4,0.017318242,79,1.147134806,70.6,4,130,0,0,0,0,0,0
2,26,23,26.6,23.5,22.0,101.4,0.016964686,77,1.147386669,69.8,5,140,0,0,0,0,0,0
2,26,24,26.4,23.4,21.9,101.4,0.016894043,78,1.148279701,69.5,5,140,0,0,0,0,0,0
2,27,1,26.3,23.5,22.1,101.4,0.01709088,79,1.148309364,69.9,4,150,1,0,0,0,0,0
2,27,2,26.3,23.5,22.1,101.4,0.01709088,79,1.148309364,69.9,4,140,3,0,0,0,0,0
2,27,3,26.1,23.6,22.3,101.4,0.017330528,81,1.148646078,70.3,3,130,4,0,0,0,0,0
2,27,4,25.8,23.5,22.3,101.3,0.017319862,83,1.148684,69.9,3,150,6,0,0,0,0,0
2,27,5,25.5,23.1,21.8,101.3,0.016829972,82,1.150719679,68.4,3,130,5,0,0,0,0,0
2,27,6,22.5,22.0,21.5,101.4,0.016430106,96,1.164272459,64.3,0,0,6,0,0,0,0,0
2,27,7,21.8,21.2,20.6,101.4,0.015573661,95,1.168603351,61.4,0,0,6,84,38,9,44,29
2,27,8,24.8,22.8,21.7,101.5,0.016633376,84,1.156056194,67.1,0,0,9,409,184,45,107,140
2,27,9,28.4,24.4,22.6,101.5,0.017609055,72,1.14051231,73.3,2,150,9,726,254,24,39,230
2,27,10,30.3,24.4,21.8,101.5,0.016810054,62,1.134788839,73.3,4,140,10,997,448,108,135,340
2,27,11,29.5,24.5,22.3,101.6,0.01728744,67,1.1380589,73.7,5,120,9,1203,640,262,282,378
2,27,12,31.2,24.7,21.9,101.6,0.016896245,59,1.132395049,74.4,5,110,8,1330,920,684,689,236
2,27,13,31.0,24.9,22.3,101.5,0.017326213,61,1.13126302,75.3,7,140,4,1370,868,549,554,319
2,27,14,31.1,25.0,22.4,101.4,0.017468563,61,1.129525513,75.8,7,150,1,1320,913,679,736,235
2,27,15,30.4,24.9,22.6,101.3,0.017618991,64,1.130747741,75.4,8,140,4,1183,764,503,634,261
2,27,16,30.0,25.0,22.9,101.3,0.017951957,67,1.131650607,75.9,7,160,6,969,671,498,811,172
2,27,17,29.5,25.0,23.0,101.3,0.018162686,70,1.133147026,75.9,7,140,4,692,479,356,854,123
2,27,18,29.0,24.9,23.1,101.2,0.018229083,72,1.133784108,75.5,7,120,4,371,198,81,409,117
2,27,19,27.4,24.0,22.4,101.2,0.017449686,76,1.141209237,71.9,5,130,8,59,40,29,137,11
2,27,20,26.6,23.5,22.0,101.2,0.017001774,77,1.145057113,69.9,5,120,5,0,0,0,0,0
2,27,21,26.5,23.5,22.0,101.2,0.017043835,78,1.145363849,69.9,4,120,4,0,0,0,0,0
2,27,22,26.3,23.8,22.5,101.3,0.017578138,81,1.146302896,71.1,4,120,4,0,0,0,0,0
2,27,23,26.0,23.9,22.8,101.3,0.017862211,84,1.146943009,71.5,5,120,6,0,0,0,0,0
2,27,24,26.4,23.9,22.6,101.3,0.017693585,81,1.145713403,71.5,5,120,10,0,0,0,0,0
2,28,1,26.0,23.6,22.4,101.3,0.017391289,82,1.147787793,70.3,2,120,10,0,0,0,0,0
2,28,2,24.9,23.1,22.1,101.3,0.017082387,86,1.152580744,68.4,2,100,8,0,0,0,0,0
2,28,3,24.0,22.7,21.9,101.3,0.01685456,90,1.156483946,66.9,0,0,10,0,0,0,0,0
2,28,4,23.2,22.4,21.8,101.2,0.016759811,93,1.158633009,65.8,0,0,10,0,0,0,0,0
2,28,5,23.0,22.2,21.6,101.2,0.016547601,93,1.159800804,65.1,0,0,10,0,0,0,0,0
2,28,6,22.8,22.0,21.4,101.3,0.016320886,93,1.162144045,64.3,0,0,8,0,0,0,0,0
2,28,7,22.7,22.0,21.4,101.3,0.016362907,94,1.162460332,64.3,0,0,8,83,44,18,89,26
2,28,8,24.3,23.0,22.2,101.4,0.017164423,90,1.155897367,68.0,0,0,8,408,264,174,419,90
2,28,9,29.3,24.5,22.4,101.4,0.017410892,68,1.136350256,73.8,0,0,6,725,386,158,252,228
2,28,10,29.9,24.6,22.3,101.4,0.017320169,65,1.134261371,74.2,3,120,8,996,643,424,527,220
2,28,11,29.8,24.5,22.2,101.4,0.017200588,65,1.134848054,73.7,5,130,6,1202,814,585,630,229
2,28,12,30.5,24.4,21.8,101.4,0.016745614,61,1.133038426,73.3,5,130,5,1329,920,684,689,236
2,28,13,30.6,24.5,21.9,101.3,0.016884124,61,1.131303051,73.8,6,150,4,1369,944,698,704,246
2,28,14,31.1,24.9,22.3,101.3,0.017324539,61,1.128665798,75.4,8,130,3,1318,912,678,735,234
2,28,15,30.4,24.9,22.6,101.2,0.017639248,64,1.129595728,75.5,8,130,4,1181,763,502,633,261
2,28,16,29.6,24.5,22.3,101.1,0.017343954,66,1.131984085,73.9,8,130,6,967,435,105,171,330
2,28,17,28.9,24.4,22.4,101.1,0.017477047,69,1.134371301,73.5,7,120,9,690,367,150,376,217
2,28,18,28.5,24.3,22.4,101.1,0.017484571,71,1.135862157,73.1,6,130,8,369,254,188,456,66
2,28,19,27.0,23.5,21.8,101.1,0.016852187,75,1.142668668,70.0,7,120,3,57,33,17,84,16
2,28,20,26.5,23.4,21.9,101.1,0.016907331,77,1.144476546,69.6,4,120,0,0,0,0,0,0
2,28,21,26.5,23.5,22.0,101.1,0.017062436,78,1.144198759,70.0,5,110,0,0,0,0,0,0
2,28,22,26.1,23.5,22.2,101.2,0.017212141,81,1.146592833,70.0,6,120,0,0,0,0,0,0
2,28,23,26.0,23.4,22.1,101.3,0.017080703,81,1.148345633,69.5,4,130,0,0,0,0,0,0
2,28,24,26.0,23.5,22.2,101.3,0.017235662,81,1.148067245,69.9,5,100,0,0,0,0,0,0
3,1,1,25.0,23.0,21.9,101.2,0.016905789,85,1.151374935,68.0,3,90,0,0,0,0,0,0
3,1,2,23.5,22.5,21.8,101.2,0.016782674,92,1.157419862,66.2,0,0,0,0,0,0,0,0
3,1,3,21.9,21.5,21.0,101.1,0.016007782,97,1.163958473,62.6,0,0,0,0,0,0,0,0
3,1,4,21.5,21.0,20.5,101.1,0.015465209,96,1.166530685,60.8,0,0,0,0,0,0,0,0
3,1,5,21.0,20.5,20.0,101.1,0.014978652,96,1.169406184,59.0,0,0,0,0,0,0,0,0
3,1,6,20.5,20.0,19.5,101.1,0.014505768,96,1.172267661,57.3,0,0,0,0,0,0,0,0
3,1,7,20.3,19.8,19.3,101.2,0.014305677,96,1.174596183,56.6,0,0,0,83,60,47,237,13
3,1,8,22.9,22.0,21.3,101.2,0.016295761,93,1.160650339,64.3,0,0,5,408,163,26,63,137
3,1,9,27.4,24.0,22.4,101.3,0.017430526,76,1.142371145,71.9,0,0,10,725,290,46,74,243
3,1,10,30.0,24.0,21.4,101.3,0.016338003,61,1.134511981,71.7,4,130,10,995,398,64,79,334
3,1,11,30.6,25.0,22.6,101.3,0.017699286,64,1.12986137,75.8,6,100,10,1201,480,77,83,404
3,1,12,30.1,24.5,22.1,101.3,0.017094187,63,1.13279587,73.8,5,130,10,1328,531,85,86,446
3,1,13,30.6,24.6,22.0,101.3,0.017045741,62,1.131016926,74.2,4,150,10,1367,547,88,88,459
3,1,14,31.0,24.5,21.7,101.2,0.016735918,59,1.128961817,73.8,5,140,10,1317,527,84,91,442
3,1,15,29.5,24.4,22.2,101.2,0.017204971,66,1.133724613,73.4,4,130,10,1179,472,75,95,396
3,1,16,29.4,24.3,22.1,101.1,0.017105993,66,1.133154157,73.1,5,140,10,965,386,62,101,324
3,1,17,27.7,23.4,21.4,101.1,0.016403214,70,1.140811753,69.5,5,140,10,687,275,44,111,231
3,1,18,27.6,23.4,21.4,101.0,0.016463695,71,1.1399543,69.6,4,130,10,366,178,55,293,122
3,1,19,27.0,23.5,21.8,101.0,0.016870819,75,1.141505137,70.0,4,120,9,55,38,27,137,10
3,1,20,26.4,23.4,21.9,101.0,0.016967902,78,1.143617784,69.6,4,100,6,0,0,0,0,0
3,1,21,26.2,23.4,22.0,101.0,0.017052023,79,1.144231204,69.7,4,120,5,0,0,0,0,0
3,1,22,26.0,23.5,22.2,101.1,0.017272841,81,1.145733935,70.0,4,120,4,0,0,0,0,0
3,1,23,25.8,23.1,21.7,101.2,0.016721948,80,1.148624344,68.4,4,120,3,0,0,0,0,0
3,1,24,25.6,23.0,21.7,101.2,0.016653514,80,1.149516465,68.0,3,130,0,0,0,0,0,0
3,2,1,25.1,22.6,21.3,101.2,0.016259791,81,1.152153892,66.5,3,120,1,0,0,0,0,0
3,2,2,23.1,21.5,20.5,101.2,0.015488008,87,1.161336504,62.5,0,0,0,0,0,0,0,0
3,2,3,21.6,20.7,20.0,101.1,0.015004106,92,1.166979078,59.7,0,0,1,0,0,0,0,0
3,2,4,21.8,20.9,20.2,101.1,0.015199189,92,1.165830718,60.4,0,0,5,0,0,0,0,0
3,2,5,21.2,20.7,20.2,101.1,0.015171614,96,1.168257694,59.7,0,0,0,0,0,0,0,0
3,2,6,20.5,20.0,19.5,101.1,0.014505768,96,1.172267661,57.3,0,0,0,0,0,0,0,0
3,2,7,20.3,19.8,19.3,101.1,0.014320363,96,1.173408429,56.6,0,0,8,82,56,40,207,15
3,2,8,23.8,21.7,20.5,101.2,0.015482194,83,1.158609454,63.2,0,0,6,407,197,61,149,136
3,2,9,28.0,23.5,21.4,101.2,0.01641357,69,1.140784068,69.9,3,70,9,724,351,109,174,242
3,2,10,29.8,23.7,21.0,101.3,0.015951077,60,1.135949543,70.6,3,140,9,994,676,489,609,187
3,2,11,30.2,23.6,20.7,101.3,0.015628027,58,1.135026462,70.1,5,140,6,1200,816,590,635,226
3,2,12,30.8,24.9,22.4,101.2,0.017470947,62,1.128406094,75.5,5,140,6,1327,743,350,353,393
3,2,13,30.7,24.0,21.1,101.2,0.016063689,58,1.131267122,71.8,7,140,8,1366,765,361,364,404
3,2,14,29.9,24.5,22.2,101.2,0.017198006,65,1.132240532,73.8,6,140,8,1315,736,347,376,389
3,2,15,30.5,24.6,22.1,101.1,0.017127538,62,1.12901114,74.3,6,150,8,1177,659,311,392,349
3,2,16,29.7,24.3,21.9,101.0,0.016999492,64,1.131100448,73.1,6,130,8,962,539,254,415,285
3,2,17,29.5,24.0,21.6,101.1,0.016586078,64,1.133702063,71.9,5,120,8,685,383,181,457,203
3,2,18,28.4,24.0,22.0,101.1,0.01704816,70,1.137014817,71.9,6,120,8,363,176,55,298,121
3,2,19,27.0,23.4,21.7,101.1,0.016697174,74,1.142946009,69.6,5,120,9,54,37,26,136,10
3,2,20,26.4,23.3,21.8,101.0,0.016813324,77,1.143894527,69.3,7,120,6,0,0,0,0,0
3,2,21,26.1,23.5,22.2,101.1,0.017230748,81,1.145426492,70.0,7,120,6,0,0,0,0,0
3,2,22,26.0,23.5,22.2,101.1,0.017272841,81,1.145733935,70.0,7,100,6,0,0,0,0,0
3,2,23,26.0,23.4,22.1,101.2,0.017099154,81,1.147178902,69.6,5,110,8,0,0,0,0,0
3,2,24,26.0,23.2,21.8,101.2,0.016790988,79,1.147732353,68.8,5,110,5,0,0,0,0,0
3,3,1,25.5,23.1,21.8,101.2,0.016848076,82,1.149551148,68.4,3,100,3,0,0,0,0,0
3,3,2,25.4,23.0,21.7,101.1,0.016755605,82,1.148966208,68.1,2,90,4,0,0,0,0,0
3,3,3,24.2,22.6,21.6,101.1,0.016655487,87,1.153783884,66.6,1,60,0,0,0,0,0,0
3,3,4,23.5,22.4,21.6,101.1,0.016651001,91,1.156514572,65.9,1,340,0,0,0,0,0,0
3,3,5,22.2,21.6,21.0,101.1,0.016025644,95,1.162743635,62.9,0,0,0,0,0,0,0,0
3,3,6,21.4,21.0,20.5,101.1,0.015507136,97,1.166849975,60.8,0,0,0,0,0,0,0,0
3,3,7,21.0,20.6,20.1,101.2,0.01510127,97,1.170337566,59.3,0,0,0,81,65,55,269,11
3,3,8,23.5,22.4,21.6,101.3,0.016616313,91,1.158865381,65.8,0,0,1,406,308,254,600,54
3,3,9,27.4,23.5,21.7,101.3,0.016646957,72,1.143772814,69.9,3,60,4,723,405,191,299,214
3,3,10,30.1,24.2,21.6,101.3,0.016613241,62,1.133649033,72.6,2,60,8,993,482,149,184,332
3,3,11,30.2,24.1,21.4,101.4,0.016393156,61,1.134785154,72.1,3,70,9,1199,581,180,193,401
3,3,12,32.0,25.5,22.8,101.3,0.017942365,60,1.124250447,77.9,5,120,9,1326,643,199,200,444
3,3,13,33.6,25.8,22.7,101.3,0.017776437,54,1.118676458,79.1,6,120,9,1365,662,205,208,457
3,3,14,32.7,25.1,22.0,101.2,0.017001949,54,1.122219309,76.2,8,150,9,1313,525,84,92,441
3,3,15,31.3,24.7,21.9,101.1,0.016953976,59,1.126350337,74.7,6,130,10,1175,470,75,96,395
3,3,16,30.1,24.3,21.8,101.1,0.016811891,62,1.131058982,73.1,7,140,10,960,653,472,790,181
3,3,17,28.9,25.0,23.3,101.1,0.018456627,73,1.132636189,76.0,5,150,6,682,518,427,848,91
3,3,18,28.4,25.2,23.7,101.0,0.019020933,77,1.132394241,76.9,4,140,4,360,290,242,436,48
3,3,19,27.2,24.6,23.3,101.0,0.01853775,81,1.137776205,74.5,3,140,1,52,42,35,171,7
3,3,20,26.6,24.5,23.4,101.1,0.018608607,84,1.14105619,74.0,4,140,0,0,0,0,0,0
3,3,21,26.5,24.5,23.4,101.2,0.018631019,85,1.142526031,74.0,4,120,1,0,0,0,0,0
3,3,22,26.5,24.3,23.2,101.2,0.018308068,84,1.143102314,73.2,4,120,0,0,0,0,0,0
3,3,23,26.3,24.1,23.0,101.2,0.018072269,84,1.144287197,72.4,4,130,0,0,0,0,0,0
3,3,24,26.2,24.1,23.0,101.3,0.01809516,84,1.145759571,72.3,4,120,0,0,0,0,0,0
3,4,1,26.0,24.0,22.9,101.3,0.018020543,85,1.146659256,71.9,3,120,4,0,0,0,0,0
3,4,2,26.0,24.0,22.9,101.2,0.018039723,85,1.145492983,72.0,3,120,3,0,0,0,0,0
3,4,3,25.8,24.0,23.0,101.2,0.018124113,86,1.146108203,72.0,4,110,1,0,0,0,0,0
3,4,4,25.4,24.0,23.2,101.1,0.018312196,89,1.146172946,72.0,3,90,8,0,0,0,0,0
3,4,5,25.4,24.0,23.2,101.2,0.018292969,89,1.147341102,72.0,1,130,9,0,0,0,0,0
3,4,6,25.5,24.2,23.4,101.2,0.018569909,90,1.146461034,72.8,0,0,10,0,0,0,0,0
3,4,7,24.4,23.2,22.4,101.2,0.017464412,90,1.152688749,68.8,0,0,10,81,32,5,26,27
3,4,8,25.6,24.2,23.4,101.3,0.01850822,89,1.147320265,72.7,0,0,10,405,162,26,61,136
3,4,9,28.0,25.0,23.6,101.3,0.018795806,79,1.137665918,76.0,3,90,10,722,289,46,73,243
3,4,10,29.2,25.3,23.6,101.4,0.01876695,73,1.134320316,77.1,6,140,10,992,397,64,78,333
3,4,11,29.2,25.3,23.6,101.4,0.01876695,73,1.134320316,77.1,5,140,10,1198,479,77,82,402
3,4,12,30.2,25.6,23.7,101.4,0.018848992,69,1.130436259,78.4,7,120,10,1324,530,85,85,445
3,4,13,29.4,25.6,23.9,101.3,0.019208218,74,1.131673184,78.5,5,130,10,1363,545,87,88,458
3,4,14,29.2,25.4,23.7,101.2,0.018976272,74,1.131713277,77.7,5,130,10,1311,525,84,92,441
3,4,15,29.7,25.7,24.0,101.2,0.01927247,73,1.129322948,78.9,5,140,10,1173,569,176,226,393
3,4,16,30.0,25.6,23.7,101.1,0.01899705,71,1.127574838,78.5,7,130,9,957,464,144,241,320
3,4,17,29.4,25.3,23.5,101.1,0.018744885,72,1.13025564,77.3,7,120,9,679,329,102,271,227
3,4,18,27.8,25.0,23.7,101.1,0.018921222,80,1.135952004,76.1,7,120,9,357,143,23,141,120
3,4,19,27.0,24.6,23.4,101.1,0.018602225,82,1.139546896,74.4,7,130,10,50,20,3,16,17
3,4,20,26.8,24.6,23.5,101.1,0.018686722,84,1.140156323,74.4,5,120,10,0,0,0,0,0
3,4,21,26.8,24.7,23.6,101.2,0.018829938,84,1.141029002,74.8,4,130,8,0,0,0,0,0
3,4,22,26.7,24.7,23.6,101.2,0.018872214,85,1.141334237,74.8,7,130,9,0,0,0,0,0
3,4,23,26.5,24.6,23.6,101.3,0.018773621,86,1.14340048,74.4,5,120,10,0,0,0,0,0
3,4,24,26.4,24.5,23.5,101.3,0.018653474,86,1.143996699,73.9,4,130,8,0,0,0,0,0
3,5,1,25.8,24.5,23.7,101.3,0.018907134,90,1.145839023,74.0,3,120,1,0,0,0,0,0
3,5,2,25.7,24.5,23.7,101.2,0.018969244,91,1.144979962,74.0,3,120,0,0,0,0,0,0
3,5,3,25.5,24.3,23.5,101.2,0.018730528,91,1.146173622,73.2,3,130,1,0,0,0,0,0
3,5,4,25.5,24.2,23.4,101.2,0.018569909,90,1.146461034,72.8,3,120,1,0,0,0,0,0
3,5,5,24.6,23.6,22.9,101.2,0.018000181,92,1.150950121,70.4,0,0,3,0,0,0,0,0
3,5,6,23.1,22.6,22.1,101.2,0.017100731,96,1.158405811,66.6,0,0,1,0,0,0,0,0
3,5,7,22.8,22.4,21.9,101.2,0.016928126,97,1.159893343,65.8,0,0,1,80,64,54,276,11
3,5,8,24.8,23.7,23.0,101.3,0.018053608,91,1.151217974,70.8,0,0,1,404,275,199,472,76
3,5,9,28.3,25.2,23.8,101.3,0.019001035,78,1.136169823,76.8,3,70,6,721,523,414,650,109
3,5,10,29.8,25.3,23.4,101.4,0.018513641,70,1.1325215,77.1,8,120,5,992,481,149,184,332
3,5,11,30.1,25.5,23.5,101.4,0.018722439,69,1.131032396,77.9,7,100,9,1197,910,750,802,160
3,5,12,30.5,25.5,23.4,101.4,0.018553609,67,1.129840208,77.9,8,100,4,1323,1065,889,894,176
3,5,13,31.2,25.6,23.3,101.3,0.018448099,64,1.126315448,78.4,8,120,1,1361,762,359,364,403
3,5,14,31.0,26.0,24.0,101.2,0.019236624,68,1.124558852,80.2,8,140,8,1309,733,346,378,388
3,5,15,31.0,25.6,23.4,101.2,0.018553635,65,1.125757971,78.4,8,140,8,1171,937,782,1002,155
3,5,16,30.5,26.0,24.1,101.2,0.019448032,70,1.126039328,80.2,8,120,0,955,764,638,971,126
3,5,17,29.5,25.4,23.6,101.1,0.018870495,72,1.129660719,77.7,8,120,0,676,541,452,772,89
3,5,18,28.2,25.0,23.5,101.1,0.018752191,77,1.134743469,76.1,5,130,0,354,278,232,419,46
3,5,19,27.0,24.4,23.1,101.1,0.018277807,81,1.140124315,73.6,6,130,3,49,39,32,167,6
3,5,20,26.6,24.0,22.7,101.1,0.017805911,81,1.142487824,72.0,4,120,0,0,0,0,0,0
3,5,21,26.4,24.2,23.1,101.2,0.018189838,84,1.143695109,72.8,4,120,3,0,0,0,0,0
3,5,22,26.4,24.0,22.8,101.3,0.017851843,82,1.145430015,71.9,4,120,9,0,0,0,0,0
3,5,23,26.2,23.8,22.6,101.3,0.017620272,82,1.146610286,71.1,4,100,9,0,0,0,0,0
3,5,24,26.0,23.6,22.4,101.3,0.017391289,82,1.147787793,70.3,3,90,10,0,0,0,0,0
3,6,1,25.6,23.4,22.2,101.2,0.017267509,83,1.148412337,69.6,2,90,10,0,0,0,0,0
3,6,2,25.5,23.3,22.1,101.2,0.017155107,83,1.14899891,69.2,3,90,10,0,0,0,0,0
3,6,3,24.6,22.8,21.8,101.2,0.016770654,86,1.153165619,67.3,0,0,10,0,0,0,0,0
3,6,4,23.8,22.8,22.1,101.2,0.017107273,92,1.155663272,67.3,0,0,10,0,0,0,0,0
3,6,5,23.3,22.5,21.9,101.1,0.016884296,93,1.156872196,66.2,0,0,10,0,0,0,0,0
3,6,6,23.0,22.3,21.7,101.2,0.016695463,94,1.159532288,65.4,0,0,10,0,0,0,0,0
3,6,7,21.8,21.4,20.9,101.2,0.015890224,97,1.165719592,62.2,0,0,10,80,32,5,27,27
3,6,8,25.3,22.8,21.5,101.3,0.01645868,81,1.152160485,67.2,0,0,10,403,161,26,62,136
3,6,9,27.9,23.7,21.8,101.4,0.016729468,71,1.142852734,70.6,3,120,10,720,288,46,73,242
3,6,10,29.0,24.1,21.9,101.4,0.016896939,67,1.138393597,72.1,3,130,10,991,480,149,184,331
3,6,11,29.6,24.5,22.3,101.4,0.017284691,66,1.135448343,73.8,6,140,9,1196,813,588,629,225
3,6,12,30.4,24.4,21.8,101.4,0.0167876,61,1.133337189,73.3,7,150,6,1321,958,758,762,200
3,6,13,30.0,24.1,21.5,101.3,0.016496266,62,1.134230758,72.2,5,130,5,1360,761,359,363,402
3,6,14,29.7,24.3,21.9,101.3,0.016940872,64,1.134564241,73.0,5,120,8,1307,634,197,215,437
3,6,15,30.0,24.0,21.4,101.2,0.016357126,61,1.133358074,71.8,6,140,9,1168,654,308,395,346
3,6,16,29.9,24.4,22.0,101.1,0.017056493,64,1.131372205,73.5,7,120,8,952,533,251,423,282
3,6,17,28.5,24.0,22.0,101.1,0.017006122,69,1.136712665,71.9,3,150,8,673,488,386,844,102
3,6,18,27.4,24.0,22.4,101.1,0.017468885,76,1.14004733,72.0,3,140,5,351,281,234,413,46
3,6,19,26.6,23.5,22.0,101.1,0.017020374,77,1.143892335,70.0,3,130,0,47,38,31,164,6
3,6,20,26.0,23.5,22.2,101.1,0.017272841,81,1.145733935,70.0,3,140,0,0,0,0,0,0
3,6,21,25.7,23.3,22.0,101.1,0.017089315,82,1.147213443,69.2,3,150,0,0,0,0,0,0
3,6,22,25.6,23.1,21.8,101.2,0.016806027,81,1.149242008,68.4,3,150,0,0,0,0,0,0
3,6,23,25.5,23.0,21.7,101.2,0.016695544,81,1.149825694,68.0,3,150,0,0,0,0,0,0
3,6,24,25.0,23.0,21.9,101.2,0.016905789,85,1.151374935,68.0,0,0,0,0,0,0,0,0
3,7,1,25.0,23.0,21.9,101.2,0.016905789,85,1.151374935,68.0,2,180,4,0,0,0,0,0
3,7,2,25.0,22.6,21.3,101.2,0.01630178,82,1.152464507,66.5,2,150,0,0,0,0,0,0
3,7,3,24.8,22.7,21.5,101.1,0.016553533,84,1.151644296,66.9,3,150,0,0,0,0,0,0
3,7,4,21.2,19.8,18.8,101.1,0.013944501,88,1.170512069,56.6,0,0,0,0,0,0,0,0
3,7,5,20.4,19.9,19.4,101.1,0.014412801,96,1.172838314,57.0,0,0,3,0,0,0,0,0
3,7,6,19.9,19.4,18.9,101.1,0.013955861,96,1.175683578,55.3,0,0,1,0,0,0,0,0
3,7,7,19.9,19.4,18.9,101.1,0.013955861,96,1.175683578,55.3,0,0,1,79,57,45,242,12
3,7,8,22.6,21.5,20.7,101.2,0.015697642,91,1.162917442,62.5,0,0,5,403,292,231,553,61
3,7,9,28.6,24.1,22.1,101.3,0.017084291,69,1.13844463,72.2,2,90,5,720,547,451,711,96
3,7,10,30.0,24.5,22.1,101.3,0.017136218,64,1.133095021,73.8,3,130,4,990,752,620,764,132
