Localização,Latitude {N+/S-},Longitude {E+/W-},Zona Horaria {+/- GMT},Elevação {m},,,,,,,,,,,,,,
Salvador,-12.90,-38.33,-3,13,,,,,,,,,,,,,,

Mês,Dia,Hora,TBS {C},TBU {C},T. Pto Orvalho {C},Pressao Atmosferica {kPa},Umidade {kg/kg},U. R. {%},Densidade do ar {kg/m3},Entalpia {BTU/LB},Velocidade do Vento {m/s},Direção do Vento {graus},Cobertura Total de Nuvens {decimas},Rad Horizontal Extraterreste {Wh/m2},Rad Global Horizontal {Wh/m2},Rad Direta {Wh/m2},Rad Direta Normal {Wh/m2},Rad Difusa Horizontal {Wh/m2}
1,3,3,24.5,21.8,20.3,101.2,0.015333516,79,1.156154349,63.5,3,90,10,0,0,0,0,0
1,3,4,24.4,22.0,20.7,101.2,0.015666266,81,1.155939364,64.3,3,80,10,0,0,0,0,0
1,3,5,21.0,20.1,19.4,101.2,0.014417055,92,1.171595867,57.6,0,0,10,0,0,0,0,0
1,3,6,20.9,20.0,19.3,101.3,0.014308851,92,1.173351901,57.2,0,0,10,1,0,0,0,0
1,3,7,21.0,20.4,19.8,101.3,0.014810635,95,1.172028715,58.6,0,0,10,191,71,8,20,62
1,3,8,23.7,21.6,20.4,101.4,0.015347213,83,1.161536225,62.7,0,0,10,512,190,23,40,167
1,3,9,25.7,23.0,21.6,101.4,0.016575558,80,1.151543398,67.9,0,0,10,807,299,36,49,263
1,3,10,27.3,22.7,20.5,101.5,0.015434486,68,1.148593154,66.7,3,90,10,1055,510,157,183,353
1,3,11,27.6,22.3,19.7,101.5,0.014715828,64,1.14874261,65.1,6,90,9,1239,599,185,193,415
1,3,12,28.5,22.8,20.1,101.4,0.015099908,62,1.143497027,67.0,9,110,9,1347,652,201,201,451
1,3,13,29.9,23.1,20.0,101.4,0.014967716,56,1.138450643,68.1,10,100,9,1371,663,204,208,459
1,3,14,30.2,23.1,19.9,101.3,0.014860414,55,1.136394586,68.2,10,110,9,1310,757,387,423,370
1,3,15,28.8,23.0,20.3,101.2,0.015311802,61,1.139728654,67.9,9,110,8,1169,862,694,871,168
1,3,16,28.4,23.0,20.5,101.1,0.015497156,64,1.139781266,68.0,9,120,5,955,552,282,437,270
1,3,17,28.2,22.9,20.4,101.1,0.015429378,64,1.140658995,67.6,8,110,8,685,254,30,62,223
1,3,18,28.0,22.7,20.2,101.1,0.015211954,64,1.141806015,66.8,6,110,10,377,139,17,42,123
1,3,19,26.3,22.7,20.9,101.1,0.015923881,74,1.147006572,66.9,7,100,10,70,41,21,49,20
1,3,20,25.8,22.7,21.1,101.1,0.016133611,77,1.148547338,66.9,5,90,8,0,0,0,0,0
1,3,21,25.6,22.7,21.2,101.2,0.01619987,78,1.150333602,66.9,5,100,8,0,0,0,0,0
1,3,22,25.6,23.1,21.8,101.2,0.016806027,81,1.149242008,68.4,5,120,5,0,0,0,0,0
1,3,23,25.4,23.0,21.7,101.3,0.016719593,82,1.151304052,68.0,4,110,5,0,0,0,0,0
1,3,24,25.2,22.9,21.7,101.3,0.016651863,82,1.152198018,67.6,5,100,5,0,0,0,0,0
1,4,1,24.9,22.8,21.6,101.3,0.016626761,84,1.153403089,67.2,3,100,5,0,0,0,0,0
1,4,2,24.9,23.0,21.9,101.3,0.016929862,85,1.152855902,68.0,5,110,1,0,0,0,0,0
1,4,3,24.8,22.9,21.8,101.2,0.016837922,85,1.152270204,67.7,4,90,3,0,0,0,0,0
1,4,4,24.6,22.7,21.6,101.2,0.016619903,85,1.153437847,66.9,4,90,1,0,0,0,0,0
1,4,5,24.5,23.0,22.1,101.2,0.017116189,88,1.15292935,68.1,4,90,3,0,0,0,0,0
1,4,6,23.6,22.4,21.6,101.3,0.01657427,90,1.158551139,65.8,0,0,6,1,1,0,1,0
1,4,7,24.1,22.4,21.4,101.3,0.016364146,87,1.156983084,65.7,0,0,8,188,109,56,131,53
1,4,8,25.2,23.2,22.1,101.4,0.017091088,85,1.152542742,68.7,0,0,8,510,247,76,136,171
1,4,9,27.4,24.0,22.4,101.4,0.017411405,76,1.143533052,71.8,4,70,9,805,298,35,49,262
1,4,10,27.9,24.0,22.2,101.5,0.017181912,73,1.143170003,71.7,5,40,10,1053,608,311,363,298
1,4,11,29.0,24.5,22.5,101.4,0.017537148,69,1.13725395,73.8,6,90,8,1238,458,55,57,403
1,4,12,29.1,24.5,22.5,101.4,0.017495057,69,1.13695252,73.8,7,110,10,1346,498,59,59,439
1,4,13,29.0,24.7,22.8,101.4,0.017861443,71,1.136677538,74.6,8,100,10,1372,507,60,61,447
1,4,14,30.1,24.6,22.2,101.3,0.017255899,64,1.132509293,74.2,10,90,10,1311,485,58,63,427
1,4,15,29.5,24.5,22.3,101.2,0.017366223,67,1.133438666,73.9,9,100,10,1170,676,345,433,331
1,4,16,29.0,24.0,21.8,101.1,0.016796023,66,1.135204888,71.9,7,100,8,957,463,143,221,321
1,4,17,28.6,23.5,21.2,101.1,0.016180426,65,1.137806255,69.9,8,90,9,687,254,30,62,224
1,4,18,27.3,24.2,22.7,101.1,0.01782972,78,1.139783594,72.8,6,110,10,379,183,56,144,127
1,4,19,26.4,24.0,22.8,101.1,0.017890229,82,1.143099972,72.0,5,120,9,72,50,39,91,12
